Texto,Label Sobre Produto,Label Sobre Loja,Polaridade do review,,,,,,,
"Adorei comprar aqui, com certeza farei novas compras, loja super confiavel e entrega antes do prazo.",,Store,,,,,,,,
praticidade preço bom andimento,,Store,,,,,,,,
Recebi antes do prazo. Indico esta loja.,,Store,,,,,,,,
O tempo de entrega deveria ser mais curto.,,Store,,,,,,,,
Ótimo atendimento! O vestido chegou super rápido e embalado cuidadosamente.,,Store,,,,,,,,
Entrega no prazo e produtos de boa qualidade !,,Store,,,,,,,,
Eficaz no atendimento e disponibilidade de solução de problemas no processo de compra. Ótimo vendedor!,,Store,,,,,,,,
pq demorou mt p fatura e enviar o produto,,Store,,,,,,,,
Fui muito bem atendido.,,Store,,,,,,,,
"Compra efetuada com sucesso, no decorrer do pedido, entre a aprovação e a entrega no prazo previsto conforme e-mails enviados informando o andamento. Além da confiança depositada  para efetivar a compra. Site seguro.",,Store,,,,,,,,
Super recomendo. Eh segura.chega tudo direitinho.,,Store,,,,,,,,
"Essa é a segunda compra que faço que tenho que avisar a CPAD sobre o não recebimento e, quando vamos ver, o material foi extraviado. Alguém ganhou dinheiro com esses livros por aí...",,Store,,,,,,,,
Caimento maravilhoso e modelo versatil,Product,,,,,,,,,
"Preço e produtos de qualidade, entrega antes do prazo estipulado.",,Store,,,,,,,,
estou esperando a troca da porta,,Store,,,,,,,,
"Podem confiar. São pessoas responsáveis e atenciosas, te responde sempre os email's e fornece produtos de qualidade.",,Store,,,,,,,,
Tudo de acordo.,,Store,,,,,,,,
"amo os produtos, a entrega é rápida e os preços são maravilhosos.",,Store,,,,,,,,
"Nao conhecia a loja, mas fiquei muito sstisfeita. Indico a todos!",,Store,,,,,,,,
Sem qualquer problema.,,Store,,,,,,,,
Boa loja. Sempre atendeu bem.,,Store,,,,,,,,
"muito bom. entrega rápida, processamento eficiente",,Store,,,,,,,,
"Entrega rápida, bom relacionamento com o cliente",,Store,,,,,,,,
Dentro do prazo previsto e bons preços,,Store,,,,,,,,
"Gostei bastante, tudo fi bem eficiente.",,Store,,,,,,,,
Entrega rápido vc não precisa sair de casa sem contar que tem sempre promoções ot,,Store,,,,,,,,
Alguns produtos estão faltando e outros estão saindo da promoção,,Store,,,,,,,,
A loja pra comprara eu gostei..chegou muito rapido..com brindes adorei mesmo,,Store,,,,,,,,
"Muito boa, comprei a entrega veio antes do dia , achei ótimo.",,Store,,,,,,,,
"fácil navegação, simples",,Store,,,,,,,,
A 5 anos atras comprei uma cadeira similar na Staples e a qualidade continua show! Parabens!!!,,Store,,,,,,,,
"Excelente, para um marinheiro de primeira viajem no site, adorei. Entrega rápida, sem nenhum problema. Apenas um ponto a melhorar. Aquela Ordem de Venda é a nota fiscal? Acredito que não. Vocês precisam emiti-la e enviá-la. No mais, perfeito.",,Store,,,,,,,,
"Já havia comprado antes e como anteriormente, deu tudo certo e o produto chegou bem rápido.",,Store,,,,,,,,
loja confiável.,,Store,,,,,,,,
Entrega rapida. Senti falta das amostras.,,Store,,,,,,,,
"Recomendo a CPAD, foi rápido o pedido, gostei muito, parabéns a Editora.",,Store,,,,,,,,
Facilidade de compra pela Internet.,,Store,,,,,,,,
"Gostei muito da experiência de compra, principalmente se a entrega for via transportadora, pois se depender dos correios estou perdido.",,Store,,,,,,,,
Boa seleção de produtos com preços bem razoáveis e praticidade para comprar.,,Store,,,,,,,,
Rapido e eficiente realizando o que foi combinado...,,Store,,,,,,,,
Um lixo a Efacil,,Store,,,,,,,,
Show!,,Store,,,,,,,,
"Demora muito tempo pra despachar o produto. Seria interessante ter uma forma de mudar a forma de pagamento pelo cliente sem ter que ligar na central, até porque o telefone da central não estava operante quando tentei.",,Store,,,,,,,,
Muitos produtos q esta no saite nao tem e se compra esperando chegar e o prazo nao e o combinada nunca e cumplido,,Store,,,,,,,,
"Achei o atendimento bem eficiente, tanto na comprar quanto na ouvidoria, nota 10",,Store,,,,,,,,
muito boa e prestativos,,Store,,,,,,,,
Uso a marca a anos e não troco por nada!,,Store,,,,,,,,
ótima loja,,Store,,,,,,,,
"Excelente qualidd de entrega, preco e condicao d pagamento.",,Store,,,,,,,,
"Eu achei muito bom o novo site, o agendamento e prazo de entrega. Principalmente que agora temos um consultor, ou melhor, um contato com quem falar para saber detalhes da compra e entrega.",,Store,,,,,,,,
"Já efetuei compras nas outras vezes, muito boa ! Só não compro sempre pois tem produtos meio salgado no valor....",,Store,,,,,,,,
otima empresa adoro as miniaturas e as amostras gratis,,Store,,,,,,,,
"Eu sou atleta, então a loja saque viagem é a mais completa em acessórios para o voleibol...",,Store,,,,,,,,
fácil de comprar. Confiável. Entrega no prazo previsto,,Store,,,,,,,,
"Ao receber o produto achei que eu tinha escolhido o tamanho errado, entrei em contato com a loja e fui muito bem atendida, além de me explicar como funcionava o procedimento da troca ainda me ofereceu um serviço rápido e gratuito. Excelente atendimento!!",,Store,,,,,,,,
Entrega rápida e compromisso com o consumidor,,Store,,,,,,,,
Falta assistência,,Store,,,,,,,,
Entrega rápida e eficiente!,,Store,,,,,,,,
muito bom o atendimento e a atenmçao,,Store,,,,,,,,
Entregar rapida,,Store,,,,,,,,
"Atendimento ótimo, atendendo qualquer dúvida até pelo whats app, entrega feita dentro do prazo! Super recomendo!",,Store,,,,,,,,
"Loja comprometida em ofertar o melhor produto e atendimento ao cliente. Só vendem produtos lindos, decorações maravilhosa e estilosas.",,Store,,,,,,,,
SEMPRE COMPRO NA LOJA ONLINE.,,Store,,,,,,,,
Excelente loja que trata muito bem seus clientes.,,Store,,,,,,,,
Chega antes do prazo,,Store,,,,,,,,
dessa vez foi horrivel fiz acompra em 15-12-2015 e ate agora nao chegou vcs prometeram em 8 dias uteis .como vou avaliar?,,Store,,,,,,,,
Boa entrega,,Store,,,,,,,,
já comprei na loja e sempre fui muito bem atendido.,,Store,,,,,,,,
"empresa bem atenciosa, envio super rapido recomendo a todos",,Store,,,,,,,,
Escolhi essa nota pra loja porque ja amo a polishop..e no site tenjo mais comodidade pelo fato do produto ser entregue em casa..e poder parcelar a compra inclusive em dois cartoes. Apenas acho que quem compra pelo site deveria ter um desconto diferenciado..,,Store,,,,,,,,
"A loja é demais, atendimento ótimo e entregaram antes do prazo nota 10.",,Store,,,,,,,,
"Gostei muito de comprar, recebi tudo certinho. Recomendo.",,Store,,,,,,,,
"O processo de compra, da escolha do produto, pagamento e entraga foram de ótima qualidade!",,Store,,,,,,,,
"Muito bom o atendimento. Achei demorada a entrega, pois comprei no 08/10 e só recebi o produto em 23/10.",,Store,,,,,,,,
Simples e fácil pra quem já está acostumada a compra online.,,Store,,,,,,,,
"Muito útil para o dia a dia, veio com acessórios e bivolt, aparelho silencioso.",,Store,,,,,,,,
Loja confiável. Adorei.,,Store,,,,,,,,
Não tenho nada que fala da loja para mim é boa só que tem que fala o que vem acompanhando no produto.,,Store,,,,,,,,
Adorei o aparelho e compraria outros..,,Store,,,,,,,,
Entrega rápida e eficiente,,Store,,,,,,,,
Porque os produtos sao exelentes e super confortaveis,,Store,,,,,,,,
"Entrega rápida, estou satisfeita",,Store,,,,,,,,
Produto de boa qualidade.,,Store,,,,,,,,
"ótimo o serviço, amo TVZ",,Store,,,,,,,,
"não tenho preferencias em editora de revistas para escola biblica dominical, todas são boas, então o fator que me fez comprar, foi preço.",,Store,,,,,,,,
Superou minhas expectativa na entrega do produto.,,Store,,,,,,,,
Ótima compra. Velocidade no envio.,,Store,,,,,,,,
Muito bom receber os produtos na tranquilidade do endereço,,Store,,,,,,,,
Entrega direitinho e bem rápido!,,Store,,,,,,,,
"100% na entrega, na qualidade dos produtos, nos valores :) sem dúvida comprarei muito mais na CatMyPet.",,Store,,,,,,,,
"ótima loja, compro e recomendo",,Store,,,,,,,,
Voltarei a fazer negócios!,,Store,,,,,,,,
"Atendimento tranquilo, preços muito bons, envio do produto super rápido. Tudo O.K.",,Store,,,,,,,,
"a unica coisa ruim é que demora um pouco na entrega, comparada a outros sites de ecommerce.",,Store,,,,,,,,
Fui bem atendida e o pedido chegou dentro do prazo. Obrigada,,Store,,,,,,,,
"porque me atendeu prontamente, e com eficacia",,Store,,,,,,,,
Escolhi essa nota porque o que faltou foi a entrega na porta de casa tive que ir na pista pegar o produto pq o entregador não entrou na rua que eu morava por ser comunidade.mad a entrega foi rápida e o produto veio em perfeita condicao,,Store,,,,,,,,
"Excelente Loja, até o momento muito bem atendido, com produtos de qualidade.",,Store,,,,,,,,
Muitíssimo eficiente!,,Store,,,,,,,,
"Entrega dentro do prazo, super satisfeita!!!",,Store,,,,,,,,
Muito boa a loja,,Store,,,,,,,,
Super rápidos!,,Store,,,,,,,,
Loja com otimos preços e os produtos chegam muito bem embalados.\nTop!,,Store,,,,,,,,
"Enviaram rapidamente, produtos de qualidade, recomendo.",,Store,,,,,,,,
"Muito bom, esclarece as dúvidas.",,Store,,,,,,,,
Excelente loja.,,Store,,,,,,,,
"Responsável, séria idônea.",,Store,,,,,,,,
Os produtos são muito bom e fácil de comprar,,Store,,,,,,,,
A loja é ótima! entrega direitinho e sempre manda um brinde e desconto. Adoro!,,Store,,,,,,,,
A empresa é ótima e a entrega foi muito rápida.,,Store,,,,,,,,
Tem uns produtos muito bom na loja fisica,,Store,,,,,,,,
"Demorou um pouquinho pra chegar, mas veio tudo ok.",,Store,,,,,,,,
"Contato permanente com o cliente, do inicio ao fim da compra. Rastreamento dos correios envia mensagens sobre status da entrega.",,Store,,,,,,,,
Gostei muito da atenção direcionada ao cliente :),,Store,,,,,,,,
Confiança e preço mais acessível.,,Store,,,,,,,,
Muito bom o trabalho de vocês.,,Store,,,,,,,,
O carinho que eles embalam as jóias e o certificado superou minhas expectativas,,Store,,,,,,,,
"Atendimento e variedade de qualidade, porém preços um pouco elevados.",,Store,,,,,,,,
"Poque gosto do estilo e tem sempre novidades!!!! Não se encontra sapatos iguais em lojas físicas, pelo menos em minha cidade.",,Store,,,,,,,,
"Ótimo atendimento, preços excelentes, entrega rápida e principalmente produtos de qualidade... A Miess está de parabéns....",,Store,,,,,,,,
Por favor comuniquem a validade do produto oara q o cliente possa avaliar se vale a pena comprar na promocao. Obg.,,Store,,,,,,,,
"Sempre compro na loja,entrega rapida,produto de qualidade e com muita tendencia.A loja esta sempre trazendo coisas novas e diferente,Loja super modernas com roupas fitnes do jeito que eu gosto.",,Store,,,,,,,,
Recomendo..... entrega rápida e ótimo atendimento,,Store,,,,,,,,
"Entrega no prazo, boa comunicação.",,Store,,,,,,,,
"Atendimento bem organizado e rápido, não me senti desinformado ou fora de prazo previsto.",,Store,,,,,,,,
"o que foi combinado foi cumprido a risca, alem de que foi antecipado prazo de entrega. Muito bom quando cumpre-se o descrito em lei e contrato,ademais a boa-fe objetiva e o basico de qualquer relaçao,seja de consumo ou juridica. obrigado pela atençao sobre opiniao do cliente. gde abço e parabens",,Store,,,,,,,,
"Sem problemas, entrega dentro do prazo e produto conforme descrito no site.",,Store,,,,,,,,
Excelente produto recomendo,Product,,,,,,,,,
Prazo de entrega e preço.,,Store,,,,,,,,
Bom atendimento e entrega dos produtos no prazo estipulado.,,Store,,,,,,,,
Recomendo. Já indiquei para várias pessoas comprarem na loja. Satisfação na entrega e nos produtos. Preço muito melhor que muitos lugares.,,Store,,,,,,,,
"Produto entregue antes do prazo, de ótima qualidade, e um LINDO MIMO!!",,Store,,,,,,,,
"Muito prático, os podutos são bem apresentados nas fotos. Vc não se assusta em comprar um produto e receber outro.",,Store,,,,,,,,
Foi fácil de comprar e o produto chegou no tempo como prometido. Gostei muito,,Store,,,,,,,,
A loja foi uma descoberta incrivel pela internet e chegou antes do prazo e muito bem embalado! Adorei,,Store,,,,,,,,
Entrega super rápida e eficiente! Chegou antes do prazo.,,Store,,,,,,,,
"entrega mais que rápida, jogo em perfeito estado. melhor site de vendas de jogos do Brasil.",,Store,,,,,,,,
Essa loja é muito confiável,,Store,,,,,,,,
Preços podem ser mais competitivos.,,Store,,,,,,,,
"Pontual, organizada e preocupada com os clientes.  Essa é uma loja dos novos tempos. Sempre dando feedback pro cliente e atendendo as necessidades dele.",,Store,,,,,,,,
"Praticidade, melhor preço e entrega rápida! O produto chegou em perfeitas condições.",,Store,,,,,,,,
"Adoro esse perfume e no site d vcs a entrega é segura, pontual e o preço em conta !",,Store,,,,,,,,
Tive um problema no produto que veio com defeito e a loja fez a reposição prontamente. O atendimento é perfeito.,,Store,,,,,,,,
"Ótimo atendimento, com informações seguidas sobre o caminho percorrido pelo produto.",,Store,,,,,,,,
Muito pratica a entrega nao esperei quase nada.,,Store,,,,,,,,
"Demora na entrega, SAC deficiente. O atendimento online ainda é péssimo. Eu aproveito e até peço para poder auxiliar vocês.",,Store,,,,,,,,
"Variedades de modelos,entrega rápida,preço bom,só o frete que considerei um pouco alto.",,Store,,,,,,,,
"Além da qualidade dos produtos, a entrega dos mesmos foi feita antes do prazo estipulado e com total acompanhamento.",,Store,,,,,,,,
"Recomendo, produto muito bom e pratico de se usar!",Product,,,,,,,,,
"Referente ao prazo de entrega foi super rápido, chegou antes do esperado e os produtos vieram todos certinhos... Parabéns, que continuem assim!:)",,Store,,,,,,,,
"Recomendo a loja, confiável e prestativo nas informaçÕes.",,Store,,,,,,,,
"Ótimo atendimento da Lorenana pelo telefone,a empresa cumpre o que promete,a entrega foi feita após 4 dias da data da compra. Excelente,parabéns!1",,Store,,,,,,,,
os melhores preço,,Store,,,,,,,,
Melhor preço e segura,,Store,,,,,,,,
Pq era a que oferecia o melhor preço e eu já conheço e confio na loja.,,Store,,,,,,,,
Adorei o produto,Product,,,,,,,,,
o fator entrega pelos correios não me agradou pois tive que buscar na agencia,,Store,,,,,,,,
"Errei a qualificação, era cinco estrelas, porque em relação a compra foi tudo ok, atendimento...entrega...tudo certo",,Store,,,,,,,,
Pela agilidade e responsabilidade até a entrega final.,,Store,,,,,,,,
"Pequenos problemas no pagamento, entrega rápida",,Store,,,,,,,,
"Excelente atendimento, o vendedor nos atendeu e orientou sobre o funcionamento de aparelho.",,Store,,,,,,,,
"Entrega no prazo e sem burocracia. O produto chegou conforme anunciado, sem nenhuma surpresa. Nota 10!!",,Store,,,,,,,,
Rápido e facil.,,Store,,,,,,,,
"Não recebi o pedido pedido!!Enviaram outro modelo e informaram que não tem mais a da minha escolha! tem mais de 15 dias q me prometeram o envio de outra e não me respondem contatos no face, zap, skype! Triste de pensar que precisarei passar para vias de procon, reclame aqui. Uma vez q o primeiro contato a pessoa foi muito gentil não compreendo pq não me respondem mais e nem enviam o combinato!",,Store,,,,,,,,
"Site de confianca e muito bom o produto , recomendo",,Store,,,,,,,,
"Otima loja, bons preços, facilidade de pagamento e entrega muito rapida. Os produtos em ouro que comprei sao de qualidade e vem com certificado de garantia. Muito satisfeita.",,Store,,,,,,,,
Otima loja. Prestativos e atenciosos,,Store,,,,,,,,
"Escolhi a World Tennis por oferecer a opção de desconto no boleto e por ser uma loja grande e conhecida e mais importante, por ser uma loja idônea.",,Store,,,,,,,,
Veio em dois tons de cor abaixo do ilustrativo da foto.,,Store,,,,,,,,
Muito boa referência e excelente atendimento,,Store,,,,,,,,
Bom So chegou atrazado kk,,Store,,,,,,,,
"Entrega rápida, acondicionamento perfeito do produto, vários modos de pagamento e pronta entrega.",,Store,,,,,,,,
"as compras pelo site são confiáveis, prazo de entrega dentro do prazo, embalagem com proteção para a mercadoria. Além de ter ótimos descontos e promoções.",,Store,,,,,,,,
"Não recebi o produto, contato pelo telefone não completa, atendimento online sempre a mesma resposta: vamos retornar em até dois dias e......NADA!!",,Store,,,,,,,,
Rápido e prático!,,Store,,,,,,,,
"O produto foi entregue conforme o prazo informado junto ao site. À título de colaboração: Seria interessante informar ao pessoal da expedição para embalar o produto em uma caixa mais segura. No mais, ocorreu tudo tranquilo.",,Store,,,,,,,,
Foi a primeira vez que comprei e gostei muito.,,Store,,,,,,,,
Muito bom comprar no site da MASH,,Store,,,,,,,,
entrega bem antes do esperado.,,Store,,,,,,,,
"Terceira vez qe compro na Celsite. Muito bom, confiavel e os precos sao em conta tbem.\nMas o qe mais me agrada eh a facilidade na navegacao no site, bem simples e rapido. Um dos melhores qe ja encontrei.",,Store,,,,,,,,
Porque é de extrema confiança e preza pela qualidade,,Store,,,,,,,,
"Entrega bem rápida, e o produto muito bem embalado.",,Store,,,,,,,,
O frete é muito caro e a entrega demora.,,Store,,,,,,,,
"Demorou um pouco mais pra chegar do que as outras compras que realizei no site. Mas chegou tudo certinho, muito bem embalado.",,Store,,,,,,,,
Prática com preços quase sempre convidativos,,Store,,,,,,,,
Gostei muito rapido,,Store,,,,,,,,
"A entrega poderia ser mais rápida, porém, chegou exatamente no 10º dia útil, como previsto. Além disso, só recebi um feedback da loja quando pedido estava sendo enviado, não antes, garantindo que ele estava sendo preparado. Mesmo assim, voltaria a comprar.",,Store,,,,,,,,
Adorei minha compra e excelente prazo de entrega.,,Store,,,,,,,,
muito rapido a entrega,,Store,,,,,,,,
"Mt pratica para efetuar as compras ,entrega dentro do prazo ,gostei. Só deixa a desejar o frete ,pois paguei quase R$ 20.00 em 3 produtos",,Store,,,,,,,,
Muito bom..gostei do atendimento...,,Store,,,,,,,,
Achei no Google e amei a loja,,Store,,,,,,,,
Alguns produtos não serviram e devolvi sem burocracia. O crédito foi liberado rapidamente e já estou comprando mais novamente.,,Store,,,,,,,,
Confiável e preço bom.,,Store,,,,,,,,
Sempre muito bem atendido,,Store,,,,,,,,
por conta do prazo e a rapidez na entrega muito bom,,Store,,,,,,,,
trabalharam corretamente e atenderam bem,,Store,,,,,,,,
"Como sempre, estão de parabéns!!! entrega rápida e produtos de qualidade!!",,Store,,,,,,,,
Fui bem atendido e o produto adquirido chegou no prazo definido pela loja.,,Store,,,,,,,,
PORQUE FOI EFICIENTE.,,Store,,,,,,,,
Entrega perfeita!,,Store,,,,,,,,
muito bom essa loja otimoo,,Store,,,,,,,,
Porque posso pegar o produto na loja ao invés de pagar o frete.,,Store,,,,,,,,
Ameiiii.. Produto lindo e de qualidade... Entrega mais que perfeita... Comprei em um dia... Chegou no outro... Maravilha! Super indico a Camisaria Colombo e seus produtos... Tudo com capricho e elegância!,,Store,,,,,,,,
Por ser uma loja masculina .,,Store,,,,,,,,
Primeira compra e achei boa a experiencia.,,Store,,,,,,,,
Otima loja entrega dentro do prazo instipulado.,,Store,,,,,,,,
Entrega rápida e a venda de produtos com excelência.,,Store,,,,,,,,
"Atendimento excelente, entregaram antes do prazo combinado. Parabéns.",,Store,,,,,,,,
Ótimo produto! De ótima qualidade! Voltarei a fazer compras no site sem dúvidas. Além de um atendimento diferenciado e uma entrega extremamente rápida. Vale a pena!,,Store,,,,,,,,
Comprei um produto dia 20/09 e hoje dia 16/10 ainda não recebi o produto.,,Store,,,,,,,,
"Entrega no prazo certinho... Precisei trocar o produto pous veio errado, a troca foi bem rapida...",,Store,,,,,,,,
"Atendeu muito bem a minha necessidade, recomendo o produto, muito bom.",,Store,,,,,,,,
"Bons preços, e condições de pagamento.",,Store,,,,,,,,
Entrega rápida !,,Store,,,,,,,,
"Ótima loja. Compro tudo pro meu carro na connect Parts. Melhor do que qualquer outra loja, não tem como negar.",,Store,,,,,,,,
"O site é confiável meus produtos vieram no prazo previsto, porem o material que comprei não superou as minhas expectativas.",,Store,,,,,,,,
Muito rapido tanto a compra quanto a entrega.,,Store,,,,,,,,
Prontidao para esclarecimento de duvidas,,Store,,,,,,,,
Preço e prazo de entrega muito bons...pena o produto que comprei ser péssimo. Com certeza voltarei a comprar nesta loja.,,Store,,,,,,,,
